CIEPOL;Ciência Política                                                                                                                                                                                 
DCIVIL1;Direito Civil I                                                                                                                                                                                 
DCIVIL2;Direito Civil II                                                                                                                                                                                
DCIVIL3;Direito Civil III                                                                                                                                                                               
DCIVIL4;Direito Civil IV                                                                                                                                                                                
DCIVIL5;Direito Civil V                                                                                                                                                                                 
DCONS;Direito do Consumidor                                                                                                                                                                             
DIRADM;Direito Administrativo                                                                                                                                                                           
DIRAMB;Direito Ambiental                                                                                                                                                                                
DIRCONS1;Direito Constitucional I                                                                                                                                                                       
DIRCONS2;Direito Constitucional II                                                                                                                                                                      
DIREC;Direito Econômico                                                                                                                                                                                 
DIREMP1;Direito Empresarial I                                                                                                                                                                           
DIREMP2;Direito Empresarial II                                                                                                                                                                          
DIREMP3;Direito Empresarial III                                                                                                                                                                         
DIRINT;Direito Internacional                                                                                                                                                                            
DIRPEN1;Direito Penal I                                                                                                                                                                                 
DIRPEN2;Direito Penal II                                                                                                                                                                                
DIRPEN3;Direito Penal III                                                                                                                                                                               
DIRTRIB;Direito Tributário                                                                                                                                                                              
DIRTRIB2;Direito Tributário II                                                                                                                                                                          
DIRTR1;Direito do Trabalho I                                                                                                                                                                            
DIRTR2;Direito do Trabalho II                                                                                                                                                                           
DPRCIV1;Direito Processual Civil I                                                                                                                                                                      
DPRCIV2;Direito Processual Civil II                                                                                                                                                                     
DPRCIV3;Direito Processual Civil III                                                                                                                                                                    
DPRCIV4;Direito Processual Civil IV                                                                                                                                                                     
DPROCP1;Direito Processual Penal I                                                                                                                                                                      
DPROCP2;Direito Processual Penal II                                                                                                                                                                     
EC;Economia                                                                                                                                                                                             
FILGJUR;Filosofia Geral e Jurídica                                                                                                                                                                      
INTDIRE;Introdução ao Direito                                                                                                                                                                           
LPO;Língua Portuguesa                                                                                                                                                                                   
METPESJ;Metodologia da Pesquisa Jurídica                                                                                                                                                                
MLEPSJ;Medicina Legal e Psicologia Judiciária                                                                                                                                                           
PRJUR1CI;Prática Jurídica I (Cível)                                                                                                                                                                     
PRJUR2PE;Prática Jurídica II (Penal)                                                                                                                                                                    
PRJUR3TR;Prática Jurídica III (Trabalhista)                                                                                                                                                             
SOCGER;Sociologia Geral                                                                                                                                                                                 
SOCJUR;Sociologia Jurídica                                                                                                                                                                              
