1LDTM;CIEPOL;82737;2                                                                                                                                                                                    
1LDTM;DCIVIL1;83473;4                                                                                                                                                                                   
1LDTM;DPRCIV1;82300;2                                                                                                                                                                                   
1LDTM;EC;80155;2                                                                                                                                                                                        
1LDTM;INTDIRE;81854;4                                                                                                                                                                                   
1LDTM;LPO;83262;2                                                                                                                                                                                       
1LDTM;METPESJ;82837;2                                                                                                                                                                                   
1LDTM;SOCGER;81162;2                                                                                                                                                                                    
1MDTN;CIEPOL;82703;2                                                                                                                                                                                    
1MDTN;DCIVIL1;82084;4                                                                                                                                                                                   
1MDTN;DPRCIV1;83265;2                                                                                                                                                                                   
1MDTN;EC;83377;2                                                                                                                                                                                        
1MDTN;INTDIRE;81854;4                                                                                                                                                                                   
1MDTN;LPO;83262;2                                                                                                                                                                                       
1MDTN;METPESJ;82242;2                                                                                                                                                                                   
1MDTN;SOCGER;81162;2                                                                                                                                                                                    
1NDTN;CIEPOL;82703;2                                                                                                                                                                                    
1NDTN;DCIVIL1;82941;4                                                                                                                                                                                   
1NDTN;DPRCIV1;83265;2                                                                                                                                                                                   
1NDTN;EC;83004;2                                                                                                                                                                                        
1NDTN;INTDIRE;81854;4                                                                                                                                                                                   
1NDTN;LPO;83262;2                                                                                                                                                                                       
1NDTN;METPESJ;82242;2                                                                                                                                                                                   
1NDTN;SOCGER;81162;2                                                                                                                                                                                    
1ODTN;CIEPOL;82703;2                                                                                                                                                                                    
1ODTN;DCIVIL1;82941;4                                                                                                                                                                                   
1ODTN;DPRCIV1;83265;2                                                                                                                                                                                   
1ODTN;EC;83004;2                                                                                                                                                                                        
1ODTN;INTDIRE;83190;4                                                                                                                                                                                   
1ODTN;LPO;83262;2                                                                                                                                                                                       
1ODTN;METPESJ;82242;2                                                                                                                                                                                   
1ODTN;SOCGER;81162;2                                                                                                                                                                                    
1PDTN;CIEPOL;82703;2                                                                                                                                                                                    
1PDTN;DCIVIL1;82941;4                                                                                                                                                                                   
1PDTN;DPRCIV1;83265;2                                                                                                                                                                                   
1PDTN;EC;84435;2                                                                                                                                                                                        
1PDTN;INTDIRE;83190;4                                                                                                                                                                                   
1PDTN;LPO;83262;2                                                                                                                                                                                       
1PDTN;METPESJ;82242;2                                                                                                                                                                                   
1PDTN;SOCGER;81162;2                                                                                                                                                                                    
1QDTM;CIEPOL;83299;2                                                                                                                                                                                    
1QDTM;DCIVIL1;82715;4                                                                                                                                                                                   
1QDTM;DPRCIV1;83473;2                                                                                                                                                                                   
1QDTM;EC;80155;2                                                                                                                                                                                        
1QDTM;INTDIRE;82852;4                                                                                                                                                                                   
1QDTM;LPO;83262;2                                                                                                                                                                                       
1QDTM;METPESJ;84410;2                                                                                                                                                                                   
1QDTM;SOCGER;81162;2                                                                                                                                                                                    
1YDTV;CIEPOL;83299;2                                                                                                                                                                                    
1YDTV;DCIVIL1;82740;4                                                                                                                                                                                   
1YDTV;DPRCIV1;82941;2                                                                                                                                                                                   
1YDTV;EC;83377;2                                                                                                                                                                                        
1YDTV;INTDIRE;81854;4                                                                                                                                                                                   
1YDTV;LPO;84535;2                                                                                                                                                                                       
1YDTV;METPESJ;82242;2                                                                                                                                                                                   
1YDTV;SOCGER;81162;2                                                                                                                                                                                    
2LDTM;DCIVIL2;82941;2                                                                                                                                                                                   
